age,gender,race,police_dept,disposition,year,month,day,city,state,county,cause_of_death,criminal_charges,symptoms_of_mental_illness,lat.x,lng.x,lat.y,lng.y,state_name,id,estimate_households_total,estimate_households_total_less_than_10_000,estimate_households_total_10_000_to_14_999,estimate_households_total_15_000_to_24_999,estimate_households_total_25_000_to_34_999,estimate_households_total_35_000_to_49_999,estimate_households_total_50_000_to_74_999,estimate_households_total_75_000_to_99_999,estimate_households_total_100_000_to_149_999,estimate_households_total_150_000_to_199_999,estimate_households_total_200_000_or_more,estimate_households_median_income_dollars,estimate_households_mean_income_dollars,disparity_value,income_class,total_pop,white,prop_white,black,prop_black,asian,prop_asian,am_in_alask,prop_am_in_alask,hawaii_pi,prop_hawaii_pi,other,prop_other
26,Male,White,Wasilla Police Department,Pending investigation/No Known Charges,2020,1,23,Lakes,AK,Matanuska-Susitna,Gunshot,No known charges,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,Male,White,Paris Police Department,Pending investigation/No Known Charges,2020,1,23,Paris,TX,Lamar,Gunshot,No known charges,No,33.6688,-95.546,33.6688,-95.546,Texas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,Male,Hispanic,Tempe Police Department,Pending investigation/No Known Charges,2020,1,22,Mesa,AZ,Maricopa,Gunshot,No known charges,No,33.4017,-111.718,33.4017,-111.718,Arizona,0500000US04013,1611722,5,2.8,7.2,7.5,12.8,18.6,13.7,16.8,7.3,8.3,68649,92992,24343,High,4485414,3547155,79.08199778214453,266128,5.933186992326684,192301,4.287251968268704,93358,2.0813686317472593,10045,0.22394811270486958,213953,4.7699721809402655
35,Male,Hispanic,Oklahoma Highway Patrol,Pending investigation/No Known Charges,2020,1,22,Moore,OK,Cleveland,Gunshot,No known charges,No,35.3293,-97.4758,35.3293,-97.4758,Oklahoma,0500000US40027,108673,6.5,3.1,7.8,8.1,11.9,19.3,13.5,18.8,6.2,4.7,64290,83314,19024,Middle,284014,221304,77.92010253015697,13726,4.832860351954481,13298,4.682163555317696,12965,4.564915814009169,118,0.041547247670889464,4119,1.450280619969438
40,Male,White,Arvada Police Department,Pending investigation/No Known Charges,2020,1,22,Arvada,CO,Jefferson,Gunshot,No known charges,No,39.8321,-105.1511,39.8321,-105.1511,Colorado,0500000US08059,236496,3.4,1.6,5,5.4,9.4,17.2,12.8,21.1,10.5,13.5,90040,115741,25701,Very High,582881,526137,90.26490827458778,6943,1.191152224896677,15706,2.694546571255539,4885,0.838078441397129,219,0.03757199153858163,10103,1.7332868973255262
60,Male,Asian,Thurston County Sheriff's Office,Pending investigation/No Known Charges,2020,1,21,Lacey,WA,Thurston,"Gunshot, Taser",No known charges,No,47.046,-122.7934,47.046,-122.7934,Washington,0500000US53067,112909,4.5,3.1,7.1,6.2,10.3,16.8,16.5,20,7.9,7.5,78512,93918,15406,Very High,290536,235404,81.02403832915715,11195,3.853223008508412,16267,5.598961918660683,4635,1.5953272572073685,2567,0.8835393892667347,3822,1.3154996282732605
20,Male,Black,Jacksonville Sheriff's Office,Pending investigation/No Known Charges,2020,1,21,Jacksonville,FL,Duval,Gunshot,No known charges,No,30.3322,-81.6749,30.3322,-81.6749,Florida,0500000US12031,368668,6.8,3.8,8.8,9.5,13.8,19.4,13.1,13.7,5.7,5.5,58415,79366,20951,Low,957755,560489,58.521124922344434,285600,29.81973469206634,45052,4.703916972503406,3571,0.3728510944865858,471,0.04917750364132789,26704,2.7881869580425054
23,Male,Black,Denton Police Department,Pending investigation/No Known Charges,2020,1,21,Denton,TX,Denton,"Gunshot, Taser",No known charges,Yes,33.2176,-97.1419,33.2176,-97.1419,Texas,0500000US48121,305164,2.9,1.8,4.4,5.3,8.6,17.5,13.9,20.1,11.2,14.4,90523,119046,28523,Very High,887207,656088,73.94982230753364,89107,10.043541135270575,84816,9.5598885040357,4054,0.4569395868157036,775,0.08735278238336712,17831,2.0097902744229925
30,Male,Black,Baltimore County Police Department,Pending investigation/No Known Charges,2020,1,21,Owings Mills,MD,Baltimore,Tasered,No known charges,Unknown,39.4115,-76.7913,39.4115,-76.7913,Maryland,0500000US24005,312466,5.3,2.3,6.1,6.4,10.5,18.2,13.6,18.5,8.7,10.3,77358,104484,27126,Very High,827370,483230,58.40555011663464,248401,30.022964332765266,50514,6.105370027919794,2305,0.27859361591549126,429,0.051851046085789915,20267,2.449569116598378
24,Male,White,"Atkins Police Department, Arkansas State Police",Pending investigation/No Known Charges,2020,1,21,Atkins,AR,Pope,Gunshot,No known charges,No,35.2414,-92.9465,35.2414,-92.9465,Arkansas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,Male,White,"Winnebago County Sheriff's Office, Fox Crossing Police Department",Justified by District Attorney,2020,1,21,Appleton,WI,Winnebago,Gunshot,No known charges,No,44.2779,-88.3891,44.2779,-88.3891,Wisconsin,0500000US55139,71238,3.5,4.1,9.9,9.4,14.9,19.6,14.4,15.1,4.4,4.5,58347,77165,18818,Low,171907,155315,90.34826970396784,4049,2.3553432960845107,4560,2.6525970437504,1084,0.6305735077687354,986,0.5735659397232225,3186,1.8533276713571873
31,Male,Hispanic,Santa Ana Police Department,Pending investigation/No Known Charges,2020,1,20,Fountain Valley,CA,Orange,Gunshot,No known charges,No,33.7105,-117.9514,33.7105,-117.9514,California,0500000US06059,1044280,4.1,2.6,4.9,5.4,8.3,14.2,12.4,19.7,11.5,17,95934,127176,31242,Very High,3175692,1881453,59.24544949573195,55517,1.7481859071975494,672223,21.167764380172887,12961,0.40813151905159567,11166,0.35160840534913335,410006,12.910760867237755
39,Male,White,Lafayette Police Department,Pending investigation/No Known Charges,2020,1,20,Lafayette,IN,Tippecanoe,Gunshot,No known charges,No,40.399,-86.8594,40.399,-86.8594,Indiana,0500000US18157,73916,9,3.8,13.1,9.6,15.2,17.4,10.6,13.5,3.7,4.1,49352,70167,20815,Very Low,195732,157216,80.32207303864467,11376,5.812028692293544,15892,8.119265117609793,602,0.30756340302045654,37,0.018903398524513112,5503,2.811497353524207
41,Male,White,Sedona Police Department,Justified by outside agency,2020,1,20,Sedona,AZ,Coconino,Gunshot,No known charges,Unknown,34.8574,-111.7951,34.8574,-111.7951,Arizona,0500000US04005,48993,9.3,5.5,6.7,6.8,13.8,18.2,10.9,15,8.3,5.6,58085,81219,23134,Low,143476,91649,63.877582313418266,1364,0.9506816471047422,2730,1.9027572555688754,37187,25.91862053583875,419,0.29203490479243915,3897,2.716133708773593
57,Male,White,Waterbury Police Department,Justified by State's Attorney,2020,1,20,Waterbury,CT,New Haven,Gunshot,No known charges,No,41.5583,-73.0361,41.5583,-73.0361,Connecticut,0500000US09009,329006,6.1,4.4,9.3,7.8,10.3,15.2,12.6,16.4,8.4,9.4,69751,94695,24944,High,854757,613987,71.83176037166119,122987,14.388533817213547,34348,4.018452027886288,1570,0.18367793419650263,41,0.00479668490576854,51459,6.020307525998617
42,Male,Black,Norfolk Police Department,Pending investigation/No Known Charges,2020,1,19,Chesapeake,VA,Norfolk,Gunshot,No known charges,No,36.6778,-76.3024,36.6778,-76.3024,Virginia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,Male,White,Highlands County Sheriff's Office,Pending investigation/No Known Charges,2020,1,19,Sebring,FL,Highlands,Gunshot,No known charges,No,27.477,-81.453,27.477,-81.453,Florida,0500000US12055,43351,7.2,6,11.3,8.2,18.2,22.2,11.2,10.1,3.3,2.4,48698,65399,16701,Very Low,106221,89142,83.92125850820459,11765,11.075964263187128,1649,1.552423720356615,54,0.0508374050329031,0,0,3134,2.95045235876145
16,Male,White,Jefferson Parish Sheriff's Office,Pending investigation/No Known Charges,2020,1,19,Metairie,LA,Jefferson,Tasered,No known charges,Yes,29.9977,-90.178,29.9977,-90.178,Louisiana,0500000US22051,171991,6.2,4.8,9.9,11.2,12.7,18.7,12,14.7,5.1,4.8,56069,74204,18135,Low,432493,272355,62.97327355587258,117383,27.141017311262843,19571,4.5251599447852335,2290,0.5294883385395832,46,0.010636010293808224,11414,2.639117858554936
19,Male,Black,Cobb County Police Department,Pending investigation/No Known Charges,2020,1,17,Powder Springs,GA,Cobb,Gunshot,No known charges,No,33.8659,-84.6838,33.8659,-84.6838,Georgia,0500000US13067,286952,3.7,2.3,4.6,7.5,11.6,17.4,14.2,17,10,11.7,79601,108459,28858,Very High,760141,427108,56.18799670061212,213192,28.046375606630875,41478,5.4566192324845,3323,0.4371557382117265,192,0.02525847178352437,52378,6.890563724361664
54,Male,Unknown race,Hancock County Sheriff's Office,Pending investigation/No Known Charges,2020,1,16,Thorn Hill,TN,Hancock,Gunshot,No known charges,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,Male,White,"Marathon County Sheriff's Department, Wausau Police Department",Pending investigation/No Known Charges,2020,1,16,Wausau,WI,Marathon,Gunshot,No known charges,No,44.962,-89.6459,44.962,-89.6459,Wisconsin,0500000US55073,54765,3.4,3.5,8.1,10,13.1,18.9,16.4,17.1,4.7,4.8,65851,81127,15276,High,135692,122654,90.39147481060049,423,0.31173540076054596,7961,5.866963417150606,388,0.28594169147775844,222,0.16360581316510922,682,0.5026088494531734
50,Male,White,Ashe County Sheriff's Office,Pending investigation/No Known Charges,2020,1,16,West Jefferson,NC,Ashe,Gunshot,No known charges,No,36.3943,-81.4896,36.3943,-81.4896,North Carolina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,Male,White,Lyon County Sheriff's Office,Pending investigation/No Known Charges,2020,1,16,Yerington,NV,Lyon,Gunshot,No known charges,No,38.9554,-119.1101,38.9554,-119.1101,Nevada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,Male,Black,Connecticut State Police,Pending investigation/No Known Charges,2020,1,15,West Haven,CT,New Haven,"Gunshot, Taser",No known charges,No,41.2739,-72.9672,41.2739,-72.9672,Connecticut,0500000US09009,329006,6.1,4.4,9.3,7.8,10.3,15.2,12.6,16.4,8.4,9.4,69751,94695,24944,High,854757,613987,71.83176037166119,122987,14.388533817213547,34348,4.018452027886288,1570,0.18367793419650263,41,0.00479668490576854,51459,6.020307525998617
55,Male,Black,Cocoa Police Department,Pending investigation/No Known Charges,2020,1,15,Cocoa,FL,Brevard,Gunshot,No known charges,No,28.382,-80.7674,28.382,-80.7674,Florida,0500000US12009,230043,4.2,3.7,9,10.1,16.3,18.6,12.8,13.7,6.4,5.4,57305,78841,21536,Low,601942,493588,81.99926238740609,53058,8.814470497157533,15018,2.4949247601928426,1596,0.265141824295364,623,0.10349834369424296,11321,1.880745985493619
47,Male,Black,Lawrenceville Police Department,Pending investigation/No Known Charges,2020,1,15,Lawrenceville,GA,Gwinnett,"Gunshot, Taser",No known charges,Drug or alcohol use,33.9523,-83.9931,33.9523,-83.9931,Georgia,0500000US13135,301471,3.7,2.2,5.8,7.9,12.4,19.7,13.7,18.4,8.5,7.6,72109,93401,21292,High,936250,429774,45.903765020026704,266298,28.44304405874499,113593,12.132763684913217,4271,0.45618157543391186,161,0.017196261682242992,88086,9.408384512683577
31,Male,White,Polk County Sheriff's Office,Pending investigation/No Known Charges,2020,1,15,Mulberry,FL,Polk,Gunshot,No known charges,No,27.9058,-81.9872,27.9058,-81.9872,Florida,0500000US12105,238629,6.1,4.5,11.4,11.2,14.4,20.5,13.5,11.5,3.6,3.3,51833,67906,16073,Very Low,724777,543681,75.01355589374387,110868,15.296843028959254,13001,1.7937931253337234,3032,0.4183355708031574,303,0.04180596238567173,36903,5.091635082239089
35,Male,White,Missoula Police Department,Pending investigation/No Known Charges,2020,1,15,Missoula,MT,Missoula,Gunshot,No known charges,No,46.875,-114.0214,46.875,-114.0214,Montana,0500000US30063,50853,4.7,5.6,9,7.5,16,20.3,13.7,12.4,5.7,5.2,57347,78557,21210,Low,119600,109724,91.74247491638796,968,0.8093645484949832,2390,1.9983277591973245,1890,1.580267558528428,0,0,355,0.29682274247491636
51,Male,Hispanic,Marion County Sheriff's Office,Justified by State Attorney,2020,1,14,The Villages,FL,Marion,Gunshot,No known charges,No,28.9021,-81.9888,28.9021,-81.9888,Florida,0500000US12083,145622,6.6,3.8,13.4,9.4,17,21,12.8,9.9,3,3,49576,64731,15155,Very Low,365579,299730,81.98775093755386,48342,13.22340725260477,4194,1.1472212572385174,1486,0.40647849028527355,0,0,4469,1.2224443964232081
29,Male,Black,"Gary Police Department, Merrillville Police Department",Pending investigation/No Known Charges,2020,1,13,Gary,IN,Lake,Gunshot,No known charges,No,41.5906,-87.3472,41.5906,-87.3472,Indiana,0500000US18089,190135,7.6,4.2,8.5,10.6,12.5,19.4,10.9,16.2,6,4.3,57081,77171,20090,Low,485493,308076,63.45632171833579,114497,23.583656201016286,7771,1.6006409979134613,2022,0.41648386279513816,252,0.05190600070443858,39895,8.21742023056975
45,Male,White,"San Antonio Police Department, U.S. Marshals Service",Pending investigation/No Known Charges,2020,1,13,San Antonio,TX,Bexar,Gunshot,No known charges,No,29.4658,-98.5253,29.4658,-98.5253,Texas,0500000US48029,646352,6.6,3.9,9.1,9.5,13.1,19.7,12.8,14.1,6,5.3,58964,79424,20460,Low,2003554,1552899,77.50721967064527,155244,7.748431038045394,59703,2.9798547980239114,17785,0.8876726057795298,4298,0.2145188000922361,136246,6.800216016139321
47,Male,White,Missouri State Highway Patrol,Pending investigation/No Known Charges,2020,1,12,Carthage,MO,Jasper,Gunshot,No known charges,No,37.1503,-94.3225,37.1503,-94.3225,Missouri,0500000US29097,45019,7.9,7.4,11.1,13.3,14.6,21.3,9.9,9.1,3,2.5,45010,60613,15603,Very Low,121328,110265,90.8817420545958,1887,1.5552881445338258,1743,1.436601608861928,1262,1.0401556112356587,58,0.04780429909006989,997,0.8217394171172359
47,Male,Black,Bainbridge Police Department,Pending investigation/No Known Charges,2020,1,11,Bainbridge,GA,Decatur,Gunshot,No known charges,No,30.9046,-84.5727,30.9046,-84.5727,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,Male,Black,Miami Beach Police Department,Pending investigation/No Known Charges,2020,1,11,Miami Beach,FL,Miami-Dade,"Gunshot, Taser",No known charges,No,25.8171,-80.1396,25.8171,-80.1396,Florida,0500000US12086,912805,8,5.3,9.8,10.3,12.2,18,11.5,12.8,5.3,6.8,55171,82803,27632,Low,2716940,2053027,75.56394325969657,456189,16.790543773509906,42480,1.5635236700111153,4788,0.17622766789108335,986,0.03629082718057815,106731,3.9283532209029275
31,Male,Hispanic,Los Angeles Police Department,Pending investigation/No Known Charges,2020,1,11,Culver City,CA,Los Angeles,Gunshot,No known charges,Yes,34.0058,-118.3968,34.0058,-118.3968,California,0500000US06037,3328398,5.4,4.3,7.5,7.3,10.5,16.2,12.4,16.8,8.4,11.3,72797,104063,31266,High,10039107,5234081,52.136918154174474,811176,8.08016091471084,1474713,14.68968305647106,81491,0.8117355458010358,26307,0.2620452197590881,1997842,19.900594744134114
43,Male,White,Garfield County Sheriff's Office,Pending investigation/No Known Charges,2020,1,11,New Castle,CO,Garfield,Gunshot,No known charges,No,39.5776,-107.5267,39.5776,-107.5267,Colorado,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,Male,White,Lakewood Police Department,Pending investigation/No Known Charges,2020,1,11,Wheat Ridge,CO,Jefferson,Gunshot,No known charges,No,39.7728,-105.1029,39.7728,-105.1029,Colorado,0500000US08059,236496,3.4,1.6,5,5.4,9.4,17.2,12.8,21.1,10.5,13.5,90040,115741,25701,Very High,582881,526137,90.26490827458778,6943,1.191152224896677,15706,2.694546571255539,4885,0.838078441397129,219,0.03757199153858163,10103,1.7332868973255262
25,Male,Pacific Islander,Spokane County Sheriff's Office,Justified by County Prosecutor,2020,1,10,Town and Country,WA,Spokane,"Gunshot, Taser",No known charges,No,47.7259,-117.422,47.7259,-117.422,Washington,0500000US53063,211723,5.8,4.3,8.3,8.9,14.1,20,12.7,13.5,7.3,5.1,59974,80940,20966,Low,522798,459016,87.79987681666725,10859,2.077092873346876,12000,2.295341604214247,7266,1.3898293413517266,3443,0.6585717619424711,5871,1.1229958798618205
37,Male,Black,New York Police Department,Pending investigation/No Known Charges,2020,1,9,New York,NY,Manhattan,Gunshot,No known charges,No,40.6943,-73.9249,40.6943,-73.9249,New York,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,Male,Black,Philadelphia Police Department,Pending investigation/No Known Charges,2020,1,9,Philadelphia,PA,Philadelphia,Gunshot,No known charges,Yes,40.0077,-75.1339,40.0077,-75.1339,Pennsylvania,0500000US42101,619505,12.2,6.6,9.7,9.9,13.3,16.3,10.8,10.5,5.1,5.7,47474,72748,25274,Very Low,1584064,617726,38.99627792816452,657343,41.497250111106624,119641,7.552788271180963,7211,0.45522150620176965,897,0.05662649993939639,128826,8.132625954506889
24,Male,Hispanic,San Bernardino County Sheriff's Office,Pending investigation/No Known Charges,2020,1,9,Muscoy,CA,San Bernardino,Gunshot,No known charges,No,34.155,-117.3477,34.155,-117.3477,California,0500000US06071,644758,4.9,3.8,7.3,8.7,12,17.5,14.7,17.4,7.5,6.2,67903,86334,18431,High,2180085,1351926,62.012536208450584,181122,8.308024687110823,160336,7.354575624344922,17061,0.7825841652963073,8247,0.3782880025320114,346772,15.906352275255323
41,Male,Unknown race,Ohio State Highway Patrol,Pending investigation/No Known Charges,2020,1,9,Powhatan,OH,Belmont,Gunshot,No known charges,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,Male,White,Bismarck Police Department,Pending investigation/No Known Charges,2020,1,9,Bismarck,ND,Burleigh,Gunshot,No known charges,Yes,46.8144,-100.7694,46.8144,-100.7694,North Dakota,0500000US38015,38438,4,4.8,6.5,6.7,11.7,18.1,12.6,21.2,6.5,8,72494,96490,23996,High,95626,85293,89.19436136615565,1789,1.8708301089661805,910,0.9516240353042059,4624,4.83550498818313,135,0.14117499424842617,230,0.24052036057139273
34,Male,White,Mobile County Sheriff's Office,Unknown,2020,1,9,Semmes,AL,Mobile,"Gunshot, Taser",No known charges,Yes,30.7941,-88.2358,30.7941,-88.2358,Alabama,0500000US01097,155946,9,5.8,11.2,10.2,14.2,20.3,10.5,11.3,4.3,3.2,49639,64556,14917,Very Low,413210,240449,58.190508458168964,150159,36.33963360034849,7779,1.8825778659761379,2915,0.7054524333873817,61,0.014762469446528401,3449,0.8346845429684663
27,Male,Unknown race,"San Bernardino County Sheriff's Office, California Highway Patrol, Nevada Highway Patrol",Pending investigation/No Known Charges,2020,1,8,Baker,CA,San Bernardino,Gunshot,No known charges,Yes,35.2769,-116.0718,35.2769,-116.0718,California,0500000US06071,644758,4.9,3.8,7.3,8.7,12,17.5,14.7,17.4,7.5,6.2,67903,86334,18431,High,2180085,1351926,62.012536208450584,181122,8.308024687110823,160336,7.354575624344922,17061,0.7825841652963073,8247,0.3782880025320114,346772,15.906352275255323
51,Male,Unknown race,U.S. Department of Veterans Affairs,Pending investigation/No Known Charges,2020,1,8,Dallas,TX,Dallas,Gunshot,No known charges,Yes,32.7936,-96.7662,32.7936,-96.7662,Texas,0500000US48113,940587,6.2,3.2,7.7,8.7,14.3,19.3,12.4,14.5,5.6,8.1,61796,91752,29956,Middle,2635516,1580364,59.96412087803679,596492,22.63283546751376,172315,6.538188347177555,12686,0.48134786508600214,1581,0.0599882527747887,203034,7.703766548941459
34,Male,White,Bismarck Police Department,Pending investigation/No Known Charges,2020,1,8,Bismarck,MO,St. Francois,Gunshot,No known charges,No,37.7673,-90.6225,37.7673,-90.6225,Missouri,0500000US29187,24021,6.6,7.3,12.3,11.9,18.1,18.1,12.9,8.8,2.2,1.9,42390,59361,16971,Very Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,Male,White,Randolph County Sheriff's Office,Pending investigation/No Known Charges,2020,1,7,Asheboro,NC,Randolph,Gunshot,No known charges,No,35.7158,-79.8129,35.7158,-79.8129,North Carolina,0500000US37151,56117,6.6,5.6,12.2,9.7,16.3,21.9,13.6,10,3.2,0.9,49742,59175,9433,Very Low,143667,122978,85.59933735652585,8140,5.665880125568154,1477,1.028071860622133,570,0.39675081960366687,0,0,6484,4.51321458650908
59,Male,White,"Alaska Department of Public Safety, North Pole Police Department",Pending investigation/No Known Charges,2020,1,7,Delta Junction,AK,Southeast Fairbanks Census Area,Gunshot,No known charges,No,64.0604,-145.7058,64.0604,-145.7058,Alaska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,Male,Hispanic,Albuquerque Police Department,Pending investigation/No Known Charges,2020,1,6,Albuquerque,NM,Bernalillo,Gunshot,No known charges,No,35.1053,-106.6464,35.1053,-106.6464,New Mexico,0500000US35001,271307,7.9,5.1,9.3,9.5,12.6,18.2,12.5,13.4,5.8,5.7,56115,78477,22362,Low,679121,503932,74.20356608027141,19726,2.9046370234464844,18355,2.7027584186028704,35029,5.157990991296102,499,0.07347733319982742,70441,10.372378412683455
28,Male,Hispanic,Phoenix Police Department,Pending investigation/No Known Charges,2020,1,6,Phoenix,AZ,Maricopa,Gunshot,No known charges,No,33.5722,-112.0891,33.5722,-112.0891,Arizona,0500000US04013,1611722,5,2.8,7.2,7.5,12.8,18.6,13.7,16.8,7.3,8.3,68649,92992,24343,High,4485414,3547155,79.08199778214453,266128,5.933186992326684,192301,4.287251968268704,93358,2.0813686317472593,10045,0.22394811270486958,213953,4.7699721809402655
33,Male,Pacific Islander,Honolulu Police Department,Pending investigation/No Known Charges,2020,1,6,Kailua,HI,Honolulu,Gunshot,No known charges,No,21.392,-157.7396,21.392,-157.7396,Hawaii,0500000US15003,316456,4.6,2.5,4.9,6.1,8.2,16.7,13.5,20.7,10.7,12.2,87470,111776,24306,Very High,974563,196270,20.139282940148558,25241,2.589981355746114,428277,43.94554277147809,3090,0.31706518716594,101448,10.409588707964494,16569,1.7001466298228025
33,Male,Pacific Islander,Honolulu Police Department,Pending investigation/No Known Charges,2020,1,6,Kailua,HI,Honolulu,Gunshot,No known charges,No,21.392,-157.7396,19.6634,-155.9447,Hawaii,0500000US15003,316456,4.6,2.5,4.9,6.1,8.2,16.7,13.5,20.7,10.7,12.2,87470,111776,24306,Very High,974563,196270,20.139282940148558,25241,2.589981355746114,428277,43.94554277147809,3090,0.31706518716594,101448,10.409588707964494,16569,1.7001466298228025
33,Male,Pacific Islander,Honolulu Police Department,Pending investigation/No Known Charges,2020,1,6,Kailua,HI,Honolulu,Gunshot,No known charges,No,19.6634,-155.9447,21.392,-157.7396,Hawaii,0500000US15003,316456,4.6,2.5,4.9,6.1,8.2,16.7,13.5,20.7,10.7,12.2,87470,111776,24306,Very High,974563,196270,20.139282940148558,25241,2.589981355746114,428277,43.94554277147809,3090,0.31706518716594,101448,10.409588707964494,16569,1.7001466298228025
33,Male,Pacific Islander,Honolulu Police Department,Pending investigation/No Known Charges,2020,1,6,Kailua,HI,Honolulu,Gunshot,No known charges,No,19.6634,-155.9447,19.6634,-155.9447,Hawaii,0500000US15003,316456,4.6,2.5,4.9,6.1,8.2,16.7,13.5,20.7,10.7,12.2,87470,111776,24306,Very High,974563,196270,20.139282940148558,25241,2.589981355746114,428277,43.94554277147809,3090,0.31706518716594,101448,10.409588707964494,16569,1.7001466298228025
23,Male,Unknown race,Denver Police Department,Justified by District Attorney,2020,1,6,Aurora,CO,Arapahoe,Gunshot,No known charges,No,39.7087,-104.7273,39.7087,-104.7273,Colorado,0500000US08005,246302,3.8,1.9,4.2,5.7,11.2,19,13.5,19.3,10.2,11.2,82710,110227,27517,Very High,656590,467262,71.16495834539059,73012,11.119876939947304,41348,6.297384973880199,5086,0.7746082029881661,1602,0.24398787675718484,37364,5.690613624940983
17,Male,Black,Jacksonville Sheriff's Office,Pending investigation/No Known Charges,2020,1,5,Jacksonville,FL,Duval,Gunshot,No known charges,No,30.3322,-81.6749,30.3322,-81.6749,Florida,0500000US12031,368668,6.8,3.8,8.8,9.5,13.8,19.4,13.1,13.7,5.7,5.5,58415,79366,20951,Low,957755,560489,58.521124922344434,285600,29.81973469206634,45052,4.703916972503406,3571,0.3728510944865858,471,0.04917750364132789,26704,2.7881869580425054
18,Male,Black,Sparks Police Department,Justified by District Attorney,2020,1,5,Sparks,NV,Washoe,Gunshot,No known charges,Yes,39.5729,-119.7157,39.5729,-119.7157,Nevada,0500000US32031,191091,4.2,3.7,8.2,6.8,11,17.7,14.8,18.8,7,7.8,71881,97948,26067,High,471519,353042,74.87333490272925,11513,2.441683155927969,26966,5.718963604860037,7777,1.6493502912926097,3151,0.6682657538720602,50497,10.709430584981728
27,Male,Black,Milford Police Department,Pending investigation/No Known Charges,2020,1,5,Milford,DE,Kent,Gunshot,No known charges,Yes,38.9091,-75.4224,38.9091,-75.4224,Delaware,0500000US10001,68023,6,6.2,7.5,7.8,15.6,19.9,12.6,15.7,6.5,2.1,58001,71690,13689,Low,180786,118702,65.65884526456695,46829,25.90300133859923,2977,1.6466983062847786,1801,0.9962054583872645,167,0.09237440952286129,1627,0.8999590676269179
30,Male,Hispanic,Lubbock Police Department,Pending investigation/No Known Charges,2020,1,5,Lubbock,TX,Lubbock,Gunshot,No known charges,No,33.5659,-101.8878,33.5659,-101.8878,Texas,0500000US48303,117494,6.7,5.5,9.7,10,13.4,19,11.2,14.8,5.2,4.6,55003,75106,20103,Low,310569,251138,80.86383380182825,21485,6.917947380453297,6830,2.1991892300905755,1855,0.5972907791827259,760,0.24471212516381222,18773,6.044711481184536
50,Male,White,Oklahoma City Police Department,Pending investigation/No Known Charges,2020,1,5,Oklahoma City,OK,Oklahoma,"Gunshot, Taser",No known charges,No,35.4676,-97.5136,35.4676,-97.5136,Oklahoma,0500000US40109,305493,6.8,4.6,9.5,8.9,14,18.7,12.2,13,5.8,6.5,56235,83009,26774,Low,797434,551112,69.11067248198597,119946,15.041495597127788,28316,3.550889478000687,26274,3.294818129149246,855,0.10721890463662195,24384,3.0578079188998712
57,Male,White,Limestone County Sheriff's Office,Pending investigation/No Known Charges,2020,1,5,Elkmont,AL,Limestone,Gunshot,No known charges,No,34.9289,-86.9765,34.9289,-86.9765,Alabama,0500000US01083,32020,3.7,5.9,8.4,12.2,10.1,16.8,11.8,18.9,6.7,5.5,63695,83580,19885,Middle,98915,77744,78.59677500884598,13999,14.152555224182379,1695,1.7135924783905374,435,0.4397715210028813,80,0.08087752110397817,2831,2.862053278067027
